feature,importance_mean,importance_std
cpg_prob_0,0.20654526942355889,0.09713225668557955
mrk_prob_1,0.16213659147869675,0.06860054169738276
cpg_prob_4,0.07116228070175437,0.06959112621619862
mrk_prob_5,0.02655519005847949,0.047457048773032987
mrk_prob_3,0.021867690058479532,0.021637661817615977
cpg_prob_1,0.0023430973266499377,0.04831319233574587
cpg_prob_2,-0.002777777777777779,0.008333333333333338
cpg_prob_5,-0.00679615705931498,0.025494588654172194
mrk_prob_0,-0.01614139515455306,0.026678006142069943
cpg_prob_3,-0.020726033834586446,0.02626243395915908
mrk_prob_4,-0.04736868212197161,0.0320293904981766
mrk_prob_2,-0.06660322681704259,0.036885931344544425
