group,n_features,features,importance_mean,importance_std,baseline
CpG view,3,cpg_prob_0;cpg_prob_1;cpg_prob_2,0.2682213224617633,0.03400845560544467,0.8986573808883529
marker view,3,mrk_prob_0;mrk_prob_1;mrk_prob_2,0.009352268631045256,0.01665442104467107,0.8986573808883529
