GO_ID,ONTOLOGY,TERM,N,DE,P.DE,FDR,SigGenesInSet
GO:0140110,MF,transcription regulator activity,1844,48,1.03384954213126e-05,0.0364621502683993,"IKZF1,RAI1,FOXN3,POU6F2,OSR1,MYRFL,ESRRG,TFEC,MYT1L,FOXD2,OTP,ALX3,GATA3,LHX6,GFI1,AHDC1,TOX3,MAMSTR,BRD7,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PRKN,PAX6,SIX4,PITX2,PPARD,MAML3,ZNF704,SHOX2,SMARCA4,SPI1,TCF4,RFX8,ZIC1,KCTD15,MAML2,RUNX2,RUNX3,NFE2L3"
GO:0003690,MF,double-stranded DNA binding,1561,41,1.40784504280591e-05,0.0415379122809259,"IKZF1,FOXN3,POU6F2,OSR1,ESRRG,TFEC,MYT1L,FOXD2,OTP,ALX3,GATA3,LHX6,GFI1,AGO2,AHDC1,BRD7,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,ZNF704,SHOX2,SMARCA4,SPI1,TCF4,RFX8,ZIC1,RUNX2,RUNX3,NFE2L3"
GO:0000981,MF,"DNA-binding transcription factor activity, RNA polymerase II-specific",1249,35,1.59571633358469e-05,0.0415379122809259,"FOXN3,POU6F2,OSR1,ESRRG,TFEC,MYT1L,FOXD2,OTP,ALX3,GATA3,LHX6,GFI1,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,SHOX2,SPI1,TCF4,RFX8,ZIC1,RUNX2,RUNX3,NFE2L3"
GO:0043565,MF,sequence-specific DNA binding,1569,41,1.76665190930643e-05,0.0415379122809259,"IKZF1,FOXN3,POU6F2,OSR1,MYRFL,ESRRG,TFEC,MYT1L,FOXD2,OTP,ALX3,GATA3,LHX6,GFI1,AGO2,BRD7,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,ZNF704,SHOX2,SMARCA4,SPI1,TCF4,RFX8,ZIC1,RUNX2,RUNX3,NFE2L3"
GO:0000977,MF,RNA polymerase II transcription regulatory region sequence-specific DNA binding,1261,35,2.52405142844687e-05,0.0534114522773641,"IKZF1,POU6F2,OSR1,ESRRG,TFEC,MYT1L,FOXD2,OTP,ALX3,GATA3,LHX6,GFI1,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,ZNF704,SPI1,TCF4,RFX8,ZIC1,RUNX2,RUNX3,NFE2L3"
GO:0000987,MF,cis-regulatory region sequence-specific DNA binding,1092,31,8.66630499605684e-05,0.149228093240431,"IKZF1,FOXN3,POU6F2,ESRRG,TFEC,MYT1L,FOXD2,GATA3,GFI1,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,ZNF704,SPI1,TCF4,RFX8,ZIC1,RUNX2,RUNX3,NFE2L3"
GO:0000978,MF,RNA polymerase II cis-regulatory region sequence-specific DNA binding,1069,30,0.000122345360302936,0.152291186433555,"IKZF1,POU6F2,ESRRG,TFEC,MYT1L,FOXD2,GATA3,GFI1,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,ZNF704,SPI1,TCF4,RFX8,ZIC1,RUNX2,RUNX3,NFE2L3"
GO:0004982,MF,N-formyl peptide receptor activity,4,2,0.000171887582120924,0.173205386917184,"FPR2,FPR3"
GO:0019911,MF,structural constituent of myelin sheath,9,3,0.000250102784144976,0.240564773422356,"MAL,MBP,MALL"
GO:0031490,MF,chromatin DNA binding,131,8,0.000436817913491467,0.377164550380354,"SBNO2,AHDC1,TOX3,PAX6,PITX2,SMARCA4,ZIC1,RUNX2"
GO:0003677,MF,DNA binding,2353,48,0.000598418627471992,0.487043714459032,"SMC4,IKZF1,FOXN3,POU6F2,OSR1,PARP4,MYRFL,ESRRG,TFEC,SBNO2,MYT1L,FOXD2,ZC3H3,OTP,ALX3,GATA3,LHX6,GFI1,AGO2,AHDC1,TOX3,BRD7,ONECUT1,HOXA6,HOXA10,HOXD13,EVX2,LEP,LHX8,ZFHX3,NFIA,NFIX,NKX2-2,SIX6,PAX6,SIX4,PITX2,PPARD,ZNF704,SHOX2,SMARCA4,SPI1,TCF4,RFX8,XRCC3,ZIC1,RUNX2,RUNX3,NFE2L3"
