filter,reducer,model,fold,n_features,auroc,bal_acc,f1_macro
boruta,pca300,elasticnet,1,300.0,0.9192327403624048,0.7582998661311914,0.7520184103550284
boruta,pca300,svm,1,300.0,0.9334920474892986,0.753681392235609,0.7669723803499894
boruta,pca300,mlp,1,300.0,0.8784305097821298,0.6601740294511379,0.6651923654148348
boruta,pca300,cnn,1,300.0,0.713698483253402,0.3388888888888888,0.0841890350087071
boruta,pls20,xgboost,1,20.0,0.9002216472198342,0.742570281124498,0.7526304181076705
boruta,pls20,random_forest,1,20.0,0.9050814041010264,0.6799196787148595,0.6869689450334612
boruta,pls20,logistic,1,20.0,0.8766072914101923,0.7441097724230255,0.7319740630777419
boruta,pls20,elasticnet,1,20.0,0.8733160366816349,0.7274431057563587,0.7192604369074957
boruta,pls20,svm,1,20.0,0.8957785211045827,0.7345381526104418,0.7349754272966672
boruta,pls20,mlp,1,20.0,0.8169602817770732,0.6123159303882195,0.6149017778468875
boruta,pls20,cnn,1,20.0,0.8755909702584752,0.7228246318607764,0.7247855815301719
boruta,pls30,xgboost,1,30.0,0.8912262920012365,0.6900937081659974,0.6999421256105748
boruta,pls30,random_forest,1,30.0,0.8988377298998423,0.6845381526104418,0.6945874646282578
boruta,pls30,logistic,1,30.0,0.8616180259544981,0.6900937081659974,0.6833613402708024
boruta,pls30,elasticnet,1,30.0,0.8600498118029408,0.6860776439089692,0.6777871423889122
boruta,pls30,svm,1,30.0,0.8917768921204995,0.724364123159304,0.7317924525774661
boruta,pls30,mlp,1,30.0,0.8240142649035502,0.6462516733601071,0.6440354943348955
boruta,pls30,cnn,1,30.0,0.8887542884326134,0.6845381526104418,0.6872800402212166
boruta,ae,xgboost,2,64.0,0.8860836862851743,0.7076436092229774,0.7036532139798631
boruta,ae,random_forest,2,64.0,0.8817247134254318,0.7118419298947088,0.7034188034188035
boruta,ae,logistic,2,64.0,0.919031398127472,0.7514594162335065,0.7127947124395778
boruta,ae,elasticnet,2,64.0,0.9174482327231684,0.7473943755831001,0.7081133919843597
boruta,ae,svm,2,64.0,0.9099647296192208,0.7514594162335065,0.7135198135198135
boruta,ae,mlp,2,64.0,0.9093041651119074,0.7555244568839131,0.7188702926948647
boruta,ae,cnn,2,64.0,0.8945555389814288,0.7473943755831001,0.7084826762246118
boruta,ae_vae,xgboost,2,64.0,0.9032893450850452,0.7496468079434893,0.7478835978835979
boruta,ae_vae,random_forest,2,64.0,0.9071849759858216,0.7251632680261229,0.734860712577714
boruta,ae_vae,logistic,2,64.0,0.9113977896271516,0.7640610422497667,0.7190075118078586
boruta,ae_vae,elasticnet,2,64.0,0.9114233718023574,0.7640610422497667,0.7190075118078586
boruta,ae_vae,svm,2,64.0,0.8869353843781066,0.7721911235505797,0.7294141375745928
boruta,ae_vae,mlp,2,64.0,0.90902939269671,0.7473943755831001,0.7084936371707605
boruta,ae_vae,cnn,2,64.0,0.8964429587726674,0.7578768492602959,0.6931235158132557
boruta,chrom_hmm,xgboost,2,15.0,0.909182639813002,0.7478408636545382,0.7431441335512724
boruta,chrom_hmm,random_forest,2,15.0,0.9134582574788846,0.7767026522724243,0.7639537684883111
boruta,chrom_hmm,logistic,2,15.0,0.9261819700245638,0.7747167799546847,0.7385085291189987
boruta,chrom_hmm,elasticnet,2,15.0,0.9280066604313376,0.7580501132880181,0.7273093915562155
boruta,chrom_hmm,svm,2,15.0,0.923293402683346,0.7773823803811809,0.7419833902631899
boruta,chrom_hmm,mlp,2,15.0,0.917618938242323,0.7492403038784486,0.7376689806357325
boruta,chrom_hmm,cnn,2,15.0,0.9108533464154616,0.7728575236572038,0.7192539716874564
boruta,none,xgboost,2,387.0,0.930347840583877,0.7556977209116353,0.7569154795821462
boruta,none,random_forest,2,387.0,0.9249211117895016,0.735239237638278,0.7338137472283813
boruta,none,logistic,2,387.0,0.9403049433770478,0.8185725709716114,0.7890724451119216
boruta,none,elasticnet,2,387.0,0.9392469101641642,0.8073703851792616,0.7844585091420534
boruta,none,svm,2,387.0,0.9318431029776556,0.8104424896707983,0.7768361581920904
boruta,none,mlp,2,387.0,0.914190482308464,0.727828868452619,0.7414406396442326
